날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260424,ALL,연기금 등,071970,HD현대마린엔진,15972,199849,183877,1804541850,22211811650,20407269800
20260424,ALL,연기금 등,443060,HD현대마린솔루션,7290,86181,78891,1772505750,20938307250,19165801500
20260424,ALL,연기금 등,090430,아모레퍼시픽,26291,148247,121956,3706870450,21074798600,17367928150
20260424,ALL,연기금 등,329180,HD현대중공업,45004,68585,23581,29815293000,45306521000,15491228000
20260424,ALL,연기금 등,082740,한화엔진,60791,259758,198967,4613481700,19844323950,15230842250
20260424,ALL,연기금 등,373220,LG에너지솔루션,49854,79582,29728,23741441000,37848108500,14106667500
20260424,ALL,연기금 등,012450,한화에어로스페이스,38524,47855,9331,57122085000,70896886500,13774801500
20260424,ALL,연기금 등,009830,한화솔루션,447241,717828,270587,21713353400,34974344975,13260991575
20260424,ALL,연기금 등,010140,삼성중공업,872969,1250599,377630,29881281900,42762941350,12881659450
20260424,ALL,연기금 등,066970,엘앤에프,119703,178520,58817,23438396950,34942651600,11504254650
20260424,ALL,연기금 등,483650,달바글로벌,12270,56624,44354,2941354000,13584457750,10643103750
20260424,ALL,연기금 등,008770,호텔신라,39984,192950,152966,2397304400,11721382600,9324078200
20260424,ALL,연기금 등,079550,LIG디펜스앤에어로스페이스,49449,57492,8043,49508335500,57662809500,8154474000
20260424,ALL,연기금 등,033780,KT&G,17169,62002,44833,3026964750,10942196200,7915231450
20260424,ALL,연기금 등,259960,크래프톤,10592,34819,24227,2921806250,9646052250,6724246000
20260424,ALL,연기금 등,021240,코웨이,12757,86862,74105,1090893800,7465286500,6374392700
20260424,ALL,연기금 등,078600,대주전자재료,18215,52487,34272,3121406000,9424271750,6302865750
20260424,ALL,연기금 등,112610,씨에스윈드,18218,101367,83149,1348386400,7528297050,6179910650
20260424,ALL,연기금 등,450080,에코프로머티,121034,196977,75943,9793648250,15871889950,6078241700
20260424,ALL,연기금 등,000150,두산,11725,15417,3692,17646553500,23190292500,5543739000
20260424,ALL,연기금 등,062040,산일전기,1898,26662,24764,422550500,5940158500,5517608000
20260424,ALL,연기금 등,009540,HD한국조선해양,30351,41917,11566,14300578000,19748653750,5448075750
20260424,ALL,연기금 등,017670,SK텔레콤,67266,119809,52543,6733309500,11987029900,5253720400
20260424,ALL,연기금 등,064350,현대로템,126666,146668,20002,30625545250,35624120000,4998574750
20260424,ALL,연기금 등,005930,삼성전자,5771537,5793642,22105,1267713437250,1272711385250,4997948000
20260424,ALL,연기금 등,020150,롯데에너지머티리얼즈,7752,80664,72912,510761550,5341084950,4830323400
20260424,ALL,연기금 등,096770,SK이노베이션,32077,68511,36434,4249036350,9071723600,4822687250
20260424,ALL,연기금 등,005490,POSCO홀딩스,43357,54615,11258,17855868500,22463931500,4608063000
20260424,ALL,연기금 등,226950,올릭스,623,25016,24393,114923700,4548478850,4433555150
20260424,ALL,연기금 등,457190,이수스페셜티케미컬,11975,47348,35373,1444239150,5700491050,4256251900
20260424,ALL,연기금 등,023530,롯데쇼핑,5840,37763,31923,755658550,4944090950,4188432400
20260424,ALL,연기금 등,010120,LS ELECTRIC,97887,116130,18243,22254054750,26391630250,4137575500
20260424,ALL,연기금 등,001440,대한전선,1261888,1355765,93877,54302491350,58357269925,4054778575
20260424,ALL,연기금 등,042700,한미반도체,51928,65070,13142,15296982500,19172339250,3875356750
20260424,ALL,연기금 등,105560,KB금융,85116,109283,24167,13410309150,17254136500,3843827350
20260424,ALL,연기금 등,033640,네패스,0,113000,113000,0,3837747275,3837747275
20260424,ALL,연기금 등,034020,두산에너빌리티,1191148,1223150,32002,149509328450,153342936300,3833607850
20260424,ALL,연기금 등,009150,삼성전기,65795,70656,4861,51307267500,55033430500,3726163000
20260424,ALL,연기금 등,098460,고영,329663,420342,90679,13540289650,17135390625,3595100975
20260424,ALL,연기금 등,051910,LG화학,22506,31582,9076,8686439750,12186744750,3500305000
20260424,ALL,연기금 등,267260,HD현대일렉트릭,43265,45985,2720,53907802500,57331597500,3423795000
20260424,ALL,연기금 등,042660,한화오션,233127,257808,24681,31286658600,34590732250,3304073650
20260424,ALL,연기금 등,222800,심텍,13332,50133,36801,1171549800,4434592750,3263042950
20260424,ALL,연기금 등,192820,코스맥스,5431,18923,13492,1234448000,4312441250,3077993250
20260424,ALL,연기금 등,267250,HD현대,9399,20012,10613,2692017500,5752821000,3060803500
20260424,ALL,연기금 등,402340,SK스퀘어,53383,57506,4123,39000038500,41996471500,2996433000
20260424,ALL,연기금 등,298380,에이비엘바이오,4587,22927,18340,723709200,3613474350,2889765150
20260424,ALL,연기금 등,032350,롯데관광개발,35,132748,132713,724395,2743170225,2742445830
20260424,ALL,연기금 등,322000,HD현대에너지솔루션,902,14567,13665,173768500,2818175050,2644406550
20260424,ALL,연기금 등,001040,CJ,6365,18188,11823,1388052500,3986268000,2598215500
20260424,ALL,연기금 등,036570,NC,4685,14207,9522,1275429500,3864621000,2589191500
20260424,ALL,연기금 등,007810,코리아써키트,20421,47181,26760,1985575400,4567728600,2582153200
20260424,ALL,연기금 등,475150,SK이터닉스,0,46808,46808,0,2558923050,2558923050
20260424,ALL,연기금 등,218410,RFHIC,37,25531,25494,3703000,2561337550,2557634550
20260424,ALL,연기금 등,161890,한국콜마,7151,32833,25682,651117050,2987416900,2336299850
20260424,ALL,연기금 등,006400,삼성SDI,92749,96290,3541,59784099000,62089351000,2305252000
20260424,ALL,연기금 등,214150,클래시스,721,38391,37670,42785250,2285341600,2242556350
20260424,ALL,연기금 등,052690,한전기술,19209,30767,11558,3677794200,5897241100,2219446900
20260424,ALL,연기금 등,011170,롯데케미칼,2729,23871,21142,266404850,2324679450,2058274600
20260424,ALL,연기금 등,031210,서울보증보험,1201,39662,38461,60294700,1982909175,1922614475
20260424,ALL,연기금 등,420770,기가비스,1534,20473,18939,152034800,2034087850,1882053050
20260424,ALL,연기금 등,192080,더블유게임즈,1541,34258,32717,86803450,1963805000,1877001550
20260424,ALL,연기금 등,100840,SNT에너지,54,31080,31026,3093700,1785157250,1782063550
20260424,ALL,연기금 등,121600,나노신소재,0,20546,20546,0,1737335550,1737335550
20260424,ALL,연기금 등,114810,한솔아이원스,4281,97936,93655,78912435,1813900265,1734987830
20260424,ALL,연기금 등,009420,한올바이오파마,14299,46650,32351,736731150,2416220000,1679488850
20260424,ALL,연기금 등,456040,OCI,14304,24416,10112,2085928750,3515069700,1429140950
20260424,ALL,연기금 등,000250,삼천당제약,47470,51244,3774,19002620500,20428159000,1425538500
20260424,ALL,연기금 등,077360,덕산하이메탈,0,80000,80000,0,1404071030,1404071030
20260424,ALL,연기금 등,067310,하나마이크론,10197,44656,34459,408830100,1800236825,1391406725
20260424,ALL,연기금 등,279570,케이뱅크,0,213366,213366,0,1381638445,1381638445
20260424,ALL,연기금 등,196170,알테오젠,25017,28637,3620,9210057500,10556294750,1346237250
20260424,ALL,연기금 등,272290,이녹스첨단소재,117,36897,36780,4188200,1313883775,1309695575
20260424,ALL,연기금 등,161390,한국타이어앤테크놀로지,21369,42087,20718,1334281650,2642605450,1308323800
20260424,ALL,연기금 등,004000,롯데정밀화학,2285,21540,19255,142430750,1336657550,1194226800
20260424,ALL,연기금 등,336260,두산퓨얼셀,11315,34334,23019,561089850,1741785900,1180696050
20260424,ALL,연기금 등,456160,지투지바이오,66,14238,14172,5357850,1157846100,1152488250
20260424,ALL,연기금 등,000990,DB하이텍,25319,32819,7500,3799238150,4941970750,1142732600
20260424,ALL,연기금 등,036460,한국가스공사,16485,46331,29846,630731475,1772360700,1141629225
20260424,ALL,연기금 등,267270,HD건설기계,2549,8275,5726,493393450,1600947450,1107554000
20260424,ALL,연기금 등,004020,현대제철,118661,144573,25912,4862751875,5959640875,1096889000
20260424,ALL,연기금 등,005940,NH투자증권,44782,74630,29848,1580431850,2640767275,1060335425
20260424,ALL,연기금 등,080220,제주반도체,0,19570,19570,0,1055834000,1055834000
20260424,ALL,연기금 등,352820,하이브,15702,19906,4204,3941868000,4995670250,1053802250
20260424,ALL,연기금 등,294870,IPARK현대산업개발,26218,69157,42939,638576875,1690389900,1051813025
20260424,ALL,연기금 등,403870,HPSP,46140,65491,19351,2452598250,3470382850,1017784600
20260424,ALL,연기금 등,089970,브이엠,6086,24386,18300,336103450,1353109550,1017006100
