날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260220,ALL,연기금 등,005930,삼성전자,2893753,3270383,376630,548426066700,619802416300,71376349600
20260220,ALL,연기금 등,329180,HD현대중공업,13286,58024,44738,7880221000,34466201000,26585980000
20260220,ALL,연기금 등,042660,한화오션,486853,648854,162001,71699257000,95275004600,23575747600
20260220,ALL,연기금 등,005935,삼성전자우,8191,162243,154052,1085984300,21562168350,20476184050
20260220,ALL,연기금 등,047050,포스코인터내셔널,147975,384832,236857,11127677200,29107952450,17980275250
20260220,ALL,연기금 등,012450,한화에어로스페이스,26702,39544,12842,32748511000,48485676000,15737165000
20260220,ALL,연기금 등,034020,두산에너빌리티,1386644,1531408,144764,144677327050,159632054650,14954727600
20260220,ALL,연기금 등,009540,HD한국조선해양,16931,46738,29807,7438898750,20653076250,13214177500
20260220,ALL,연기금 등,138040,메리츠금융지주,37928,102994,65066,5546107400,15067233850,9521126450
20260220,ALL,연기금 등,005380,현대차,195789,214441,18652,99713366500,109219921500,9506555000
20260220,ALL,연기금 등,005850,에스엘,28285,170327,142042,1734030900,10440024900,8705994000
20260220,ALL,연기금 등,096770,SK이노베이션,94578,156820,62242,12007046950,19939365100,7932318150
20260220,ALL,연기금 등,086520,에코프로,271018,314040,43022,46468600650,53850640950,7382040300
20260220,ALL,연기금 등,006400,삼성SDI,132585,150299,17714,53903332250,61258355250,7355023000
20260220,ALL,연기금 등,267250,HD현대,8229,30556,22327,2354226750,8763370000,6409143250
20260220,ALL,연기금 등,373220,LG에너지솔루션,28568,42948,14380,11497863250,17284741000,5786877750
20260220,ALL,연기금 등,004020,현대제철,66848,215745,148897,2595073375,8326266125,5731192750
20260220,ALL,연기금 등,011170,롯데케미칼,3831,67056,63225,320520650,5664665200,5344144550
20260220,ALL,연기금 등,161390,한국타이어앤테크놀로지,14790,84759,69969,1111407400,6395804800,5284397400
20260220,ALL,연기금 등,000270,기아,195240,226016,30776,33255135450,38535672500,5280537050
20260220,ALL,연기금 등,483650,달바글로벌,5000,35066,30066,880261400,6052537050,5172275650
20260220,ALL,연기금 등,052690,한전기술,32344,63003,30659,5343438400,10443761850,5100323450
20260220,ALL,연기금 등,023590,다우기술,0,84921,84921,0,5064448150,5064448150
20260220,ALL,연기금 등,010950,S-Oil,17284,58792,41508,2036335650,6940333400,4903997750
20260220,ALL,연기금 등,011200,HMM,135233,342210,206977,3111360350,7889615675,4778255325
20260220,ALL,연기금 등,295310,에이치브이엠,0,54585,54585,0,4674294850,4674294850
20260220,ALL,연기금 등,196170,알테오젠,18669,29401,10732,7543453750,11873224250,4329770500
20260220,ALL,연기금 등,005385,현대차우,0,15509,15509,0,4284692250,4284692250
20260220,ALL,연기금 등,034220,LG디스플레이,157820,474259,316439,2102052860,6317782345,4215729485
20260220,ALL,연기금 등,032830,삼성생명,17967,37177,19210,3933493500,8115718250,4182224750
20260220,ALL,연기금 등,005387,현대차2우B,810,15802,14992,226197250,4403677750,4177480500
20260220,ALL,연기금 등,043260,성호전자,10000,186333,176333,228332600,4287741625,4059409025
20260220,ALL,연기금 등,005490,POSCO홀딩스,40462,50590,10128,15914015250,19882182750,3968167500
20260220,ALL,연기금 등,086280,현대글로비스,18057,32717,14660,4834499750,8748641500,3914141750
20260220,ALL,연기금 등,064760,티씨케이,501,16089,15588,107425500,3512120500,3404695000
20260220,ALL,연기금 등,105560,KB금융,141142,161086,19944,23799848900,27169428500,3369579600
20260220,ALL,연기금 등,316140,우리금융지주,103956,186140,82184,4189258650,7496581825,3307323175
20260220,ALL,연기금 등,005830,DB손해보험,10641,27575,16934,2046712600,5321771150,3275058550
