날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260417,ALL,연기금 등,329180,HD현대중공업,36696,98320,61624,18494906500,49723964750,31229058250
20260417,ALL,연기금 등,006400,삼성SDI,95155,129227,34072,47555761750,64717856750,17162095000
20260417,ALL,연기금 등,066970,엘앤에프,197181,289917,92736,35765992600,52682386700,16916394100
20260417,ALL,연기금 등,005490,POSCO홀딩스,60332,97526,37194,23069418500,37345956250,14276537750
20260417,ALL,연기금 등,090460,비에이치,31521,424149,392628,946090025,12946152175,12000062150
20260417,ALL,연기금 등,082740,한화엔진,76585,256297,179712,4217836375,14392249000,10174412625
20260417,ALL,연기금 등,011070,LG이노텍,20124,44055,23931,7888113250,17328919000,9440805750
20260417,ALL,연기금 등,005380,현대차,49284,63497,14213,26527499500,34105641500,7578142000
20260417,ALL,연기금 등,131290,티에스이,15305,47891,32586,2567665500,8169519750,5601854250
20260417,ALL,연기금 등,077970,STX엔진,12959,139797,126838,562468200,6079612350,5517144150
20260417,ALL,연기금 등,015760,한국전력,261106,367333,106227,12012605300,16894110725,4881505425
20260417,ALL,연기금 등,080580,오킨스전자,0,183397,183397,0,4655901600,4655901600
20260417,ALL,연기금 등,017800,현대엘리베이터,7748,49202,41454,775089600,4976373650,4201284050
20260417,ALL,연기금 등,192820,코스맥스,1444,19226,17782,307473250,4110540500,3803067250
20260417,ALL,연기금 등,222800,심텍,4479,52265,47786,337562350,3966648350,3629086000
20260417,ALL,연기금 등,010820,퍼스텍,0,262208,262208,0,3432421285,3432421285
20260417,ALL,연기금 등,033240,자화전자,1600,84903,83303,64961675,3496323525,3431361850
20260417,ALL,연기금 등,006260,LS,5049,15169,10120,1681704750,5047349250,3365644500
20260417,ALL,연기금 등,036570,NC,4300,16884,12584,1142260000,4482099750,3339839750
20260417,ALL,연기금 등,009540,HD한국조선해양,20325,28432,8107,8390142750,11706942500,3316799750
20260417,ALL,연기금 등,071970,HD현대마린엔진,13417,48028,34611,1160754950,4445073300,3284318350
20260417,ALL,연기금 등,003670,포스코퓨처엠,25662,38754,13092,5929911250,8938840000,3008928750
20260417,ALL,연기금 등,001040,CJ,2705,16514,13809,584819250,3574213750,2989394500
20260417,ALL,연기금 등,021240,코웨이,10057,44700,34643,843324600,3758478450,2915153850
20260417,ALL,연기금 등,005940,NH투자증권,103770,184825,81055,3637919350,6497118325,2859198975
20260417,ALL,연기금 등,161890,한국콜마,3297,32113,28816,287591200,2799386650,2511795450
20260417,ALL,연기금 등,096770,SK이노베이션,34850,53065,18215,4445462400,6753255450,2307793050
20260417,ALL,연기금 등,295310,에이치브이엠,855,24080,23225,83272400,2388912450,2305640050
20260417,ALL,연기금 등,018260,삼성에스디에스,27200,39593,12393,4982444950,7249167550,2266722600
20260417,ALL,연기금 등,112610,씨에스윈드,9083,43288,34205,593889800,2827812350,2233922550
20260417,ALL,연기금 등,005830,DB손해보험,17448,29723,12275,3005698000,5125988450,2120290450
20260417,ALL,연기금 등,006360,GS건설,210769,262682,51913,8184822825,10184654575,1999831750
20260417,ALL,연기금 등,089890,코세스,11395,73871,62476,361980850,2345927625,1983946775
