날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260223,ALL,연기금 등,096770,SK이노베이션,87212,244057,156845,11235510150,31527346000,20291835850
20260223,ALL,연기금 등,005830,DB손해보험,39884,119512,79628,8173116000,24603618750,16430502750
20260223,ALL,연기금 등,009150,삼성전기,202013,234644,32631,85265283250,98263392500,12998109250
20260223,ALL,연기금 등,066570,LG전자,625516,706767,81251,83938543950,95049029150,11110485200
20260223,ALL,연기금 등,196170,알테오젠,33360,52897,19537,13719067000,21723481750,8004414750
20260223,ALL,연기금 등,011170,롯데케미칼,9250,97736,88486,797734050,8443502050,7645768000
20260223,ALL,연기금 등,353200,대덕전자,1506,112545,111039,90422200,6785264750,6694842550
20260223,ALL,연기금 등,062040,산일전기,14260,54930,40670,2352234650,9042415200,6690180550
20260223,ALL,연기금 등,010130,고려아연,4672,8244,3572,7959388500,14161247000,6201858500
20260223,ALL,연기금 등,052400,코나아이,4411,89985,85574,304600000,6257885450,5953285450
20260223,ALL,연기금 등,226950,올릭스,8,41501,41493,1036000,5646253950,5645217950
20260223,ALL,연기금 등,012330,현대모비스,49786,61152,11366,22255469500,27357529500,5102060000
20260223,ALL,연기금 등,007660,이수페타시스,21815,67392,45577,2283209350,7108612250,4825402900
20260223,ALL,연기금 등,0126Z0,삼성에피스홀딩스,3951,11013,7062,2546581000,7162744000,4616163000
20260223,ALL,연기금 등,042700,한미반도체,67764,89995,22231,13861934500,18372795750,4510861250
20260223,ALL,연기금 등,009540,HD한국조선해양,25586,34574,8988,11886337500,16084080250,4197742750
20260223,ALL,연기금 등,005385,현대차우,1612,15622,14010,458489750,4450558750,3992069000
20260223,ALL,연기금 등,141080,리가켐바이오,48500,69837,21337,8746093750,12669812700,3923718950
20260223,ALL,연기금 등,001440,대한전선,252257,363112,110855,8714426450,12547950550,3833524100
20260223,ALL,연기금 등,017960,한국카본,7834,92799,84965,312524925,3701780275,3389255350
20260223,ALL,연기금 등,097950,CJ제일제당,9331,23915,14584,2067567750,5303380000,3235812250
20260223,ALL,연기금 등,043260,성호전자,0,114625,114625,0,3014822050,3014822050
20260223,ALL,연기금 등,005387,현대차2우B,5828,15566,9738,1673713750,4479388750,2805675000
20260223,ALL,연기금 등,456160,지투지바이오,3266,31921,28655,318595250,3103742900,2785147650
20260223,ALL,연기금 등,295310,에이치브이엠,0,34045,34045,0,2729802450,2729802450
20260223,ALL,연기금 등,036570,엔씨소프트,6267,17885,11618,1441903750,4115796250,2673892500
20260223,ALL,연기금 등,009420,한올바이오파마,15960,59579,43619,970055600,3609802650,2639747050
20260223,ALL,연기금 등,003490,대한항공,572929,669213,96284,15034894300,17507401175,2472506875
20260223,ALL,연기금 등,323410,카카오뱅크,126214,208085,81871,3594681575,5935293200,2340611625
20260223,ALL,연기금 등,298380,에이비엘바이오,1636,13732,12096,309062950,2606663600,2297600650
20260223,ALL,연기금 등,032350,롯데관광개발,28749,114475,85726,732820300,2928046250,2195225950
20260223,ALL,연기금 등,105630,한세실업,30657,183189,152532,434730920,2594956905,2160225985
20260223,ALL,연기금 등,064760,티씨케이,150,10218,10068,32289500,2191410250,2159120750
20260223,ALL,연기금 등,034220,LG디스플레이,367060,523980,156920,5146989430,7304146705,2157157275
20260223,ALL,연기금 등,420770,기가비스,0,32976,32976,0,2137761300,2137761300
