날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260702,ALL,연기금 등,012450,한화에어로스페이스,36301,71882,35581,41778833000,82946887000,41168054000
20260702,ALL,연기금 등,055550,신한지주,196309,558856,362547,19983578150,57022788200,37039210050
20260702,ALL,연기금 등,090430,아모레퍼시픽,33477,251616,218139,4043214600,30349835000,26306620400
20260702,ALL,연기금 등,352820,하이브,29879,151317,121438,6405009750,32665370250,26260360500
20260702,ALL,연기금 등,003490,대한항공,280271,1118478,838207,8072504025,32485450725,24412946700
20260702,ALL,연기금 등,278470,에이피알,22175,65974,43799,9241931000,27687858000,18445927000
20260702,ALL,연기금 등,066570,LG전자,459955,550362,90407,88514346250,105658241500,17143895250
20260702,ALL,연기금 등,068270,셀트리온,40453,129937,89484,7217828750,23221467400,16003638650
20260702,ALL,연기금 등,006260,LS,8205,48024,39819,3215871750,18908060750,15692189000
20260702,ALL,연기금 등,078930,GS,17011,213761,196750,1306023600,16431183300,15125159700
20260702,ALL,연기금 등,006400,삼성SDI,82191,113568,31377,39094610750,54151225250,15056614500
20260702,ALL,연기금 등,005490,POSCO홀딩스,49317,80475,31158,15619116250,25530861500,9911745250
20260702,ALL,연기금 등,128940,한미약품,10903,32854,21951,4634763500,14508279000,9873515500
20260702,ALL,연기금 등,226950,올릭스,2037,61533,59496,324582950,10082191000,9757608050
20260702,ALL,연기금 등,000270,기아,216435,283810,67375,31353406250,41043669550,9690263300
20260702,ALL,연기금 등,034020,두산에너빌리티,540413,647434,107021,46817973800,56240863150,9422889350
20260702,ALL,연기금 등,015760,한국전력,439616,682938,243322,16808495850,26114141925,9305646075
20260702,ALL,연기금 등,064350,현대로템,96966,144401,47435,18953968100,28188533650,9234565550
20260702,ALL,연기금 등,036570,NC,6172,39706,33534,1644498000,10679757750,9035259750
20260702,ALL,연기금 등,047050,포스코인터내셔널,36853,207956,171103,1919624350,10932718000,9013093650
20260702,ALL,연기금 등,214450,파마리서치,190,21453,21263,70172000,7964381500,7894209500
20260702,ALL,연기금 등,010120,LS ELECTRIC,74843,106192,31349,18248707500,25856569500,7607862000
20260702,ALL,연기금 등,329180,HD현대중공업,26814,38713,11899,16038574000,23175018500,7136444500
20260702,ALL,연기금 등,373220,LG에너지솔루션,51852,71359,19507,18348731250,25309318000,6960586750
20260702,ALL,연기금 등,204320,HL만도,46446,174564,128118,2283494475,8631999225,6348504750
20260702,ALL,연기금 등,035900,JYP Ent.,310,107320,107010,17320100,6063708650,6046388550
20260702,ALL,연기금 등,005830,DB손해보험,5785,46973,41188,834026000,6808341400,5974315400
20260702,ALL,연기금 등,062040,산일전기,3629,26810,23181,885725250,6595495250,5709770000
20260702,ALL,연기금 등,081660,미스토홀딩스,4186,122689,118503,195984850,5828992175,5633007325
20260702,ALL,연기금 등,271560,오리온,3003,35958,32955,424907100,5173576650,4748669550
20260702,ALL,연기금 등,008770,호텔신라,50381,138137,87756,2553960850,7196019100,4642058250
20260702,ALL,연기금 등,011070,LG이노텍,49475,54872,5397,43716985000,48213874500,4496889500
20260702,ALL,연기금 등,007660,이수페타시스,7665,41302,33637,944567800,5185958200,4241390400
20260702,ALL,연기금 등,475150,SK이터닉스,11016,84045,73029,598558250,4616638900,4018080650
20260702,ALL,연기금 등,041510,에스엠,0,49767,49767,0,3934731250,3934731250
20260702,ALL,연기금 등,105560,KB금융,210475,233122,22647,35314495450,39229866200,3915370750
20260702,ALL,연기금 등,009420,한올바이오파마,10997,71339,60342,689607850,4568544350,3878936500
20260702,ALL,연기금 등,207940,삼성바이오로직스,3787,6395,2608,5367758500,9070669000,3702910500
20260702,ALL,연기금 등,051900,LG생활건강,2534,17423,14889,619197000,4253216500,3634019500
20260702,ALL,연기금 등,041830,인바디,4968,64148,59180,296368850,3845840050,3549471200
20260702,ALL,연기금 등,001450,현대해상,50118,147052,96934,1814919450,5354069175,3539149725
20260702,ALL,연기금 등,316140,우리금융지주,181169,295484,114315,5478399650,8963826200,3485426550
20260702,ALL,연기금 등,111770,영원무역,14140,55539,41399,1176614400,4657254350,3480639950
20260702,ALL,연기금 등,006360,GS건설,88171,176130,87959,2620824200,5320175675,2699351475
20260702,ALL,연기금 등,241710,코스메카코리아,8188,38811,30623,700412850,3335503700,2635090850
20260702,ALL,연기금 등,112610,씨에스윈드,11286,67098,55812,504208800,3011011200,2506802400
20260702,ALL,연기금 등,180640,한진칼,6384,24895,18511,837377800,3308099600,2470721800
20260702,ALL,연기금 등,071970,HD현대마린엔진,934,37928,36994,61235400,2474262500,2413027100
20260702,ALL,연기금 등,007070,GS리테일,18528,112941,94413,463675650,2842402025,2378726375
20260702,ALL,연기금 등,086790,하나금융지주,165102,184496,19394,20030570600,22329731000,2299160400
20260702,ALL,연기금 등,003230,삼양식품,1819,3747,1928,2162149000,4451904000,2289755000
20260702,ALL,연기금 등,336260,두산퓨얼셀,13729,52267,38538,803877700,3046401150,2242523450
20260702,ALL,연기금 등,267260,HD현대일렉트릭,26671,29037,2366,26204791000,28419899500,2215108500
20260702,ALL,연기금 등,237690,에스티팜,109,16666,16557,14419800,2200894300,2186474500
20260702,ALL,연기금 등,120110,코오롱인더,3164,38427,35263,191266250,2359881100,2168614850
20260702,ALL,연기금 등,282330,BGF리테일,1183,18803,17620,141829100,2272934400,2131105300
20260702,ALL,연기금 등,069620,대웅제약,637,17532,16895,79728600,2200523700,2120795100
20260702,ALL,연기금 등,403870,HPSP,121197,166499,45302,5572882600,7654994725,2082112125
20260702,ALL,연기금 등,002790,아모레퍼시픽홀딩스,3781,85933,82152,94314950,2135117725,2040802775
20260702,ALL,연기금 등,005950,이수화학,0,147744,147744,0,1974130590,1974130590
20260702,ALL,연기금 등,161890,한국콜마,25117,42304,17187,2946133250,4902974500,1956841250
20260702,ALL,연기금 등,196170,알테오젠,41720,47126,5406,14953758750,16874588250,1920829500
20260702,ALL,연기금 등,010130,고려아연,1286,2975,1689,1393173500,3233140000,1839966500
20260702,ALL,연기금 등,483650,달바글로벌,3563,11222,7659,873441250,2667502500,1794061250
20260702,ALL,연기금 등,011200,HMM,73306,165728,92422,1393001620,3173334855,1780333235
20260702,ALL,연기금 등,267270,HD건설기계,14014,28300,14286,1724177050,3500146300,1775969250
20260702,ALL,연기금 등,024110,기업은행,37247,117395,80148,769960880,2433857480,1663896600
20260702,ALL,연기금 등,064400,LG씨엔에스,12936,33639,20703,1027228100,2687285650,1660057550
20260702,ALL,연기금 등,195940,HK이노엔,0,37866,37866,0,1585025600,1585025600
20260702,ALL,연기금 등,240810,원익IPS,80379,90843,10464,11178820500,12738681850,1559861350
20260702,ALL,연기금 등,028050,삼성E&A,115014,145347,30333,5730240425,7263601425,1533361000
20260702,ALL,연기금 등,161390,한국타이어앤테크놀로지,16871,39595,22724,1117170600,2609810000,1492639400
20260702,ALL,연기금 등,005440,현대지에프홀딩스,4553,92018,87465,73270060,1485463890,1412193830
20260702,ALL,연기금 등,003550,LG,42953,57496,14543,4244408600,5654192500,1409783900
20260702,ALL,연기금 등,257720,실리콘투,0,37110,37110,0,1311888700,1311888700
20260702,ALL,연기금 등,267250,HD현대,8943,14812,5869,1870229100,3143385400,1273156300
20260702,ALL,연기금 등,105630,한세실업,18592,154178,135586,171022250,1419928025,1248905775
20260702,ALL,연기금 등,008930,한미사이언스,5186,44546,39360,160838450,1401835100,1240996650
20260702,ALL,연기금 등,383220,F&F,1911,16974,15063,153148600,1379005200,1225856600
20260702,ALL,연기금 등,035420,NAVER,207012,213206,6194,40893210750,42094494700,1201283950
20260702,ALL,연기금 등,001820,삼화콘덴서,13663,23121,9458,1753972050,2896041700,1142069650
20260702,ALL,연기금 등,298380,에이비엘바이오,11306,22341,11035,1110520200,2209012450,1098492250
20260702,ALL,연기금 등,010950,S-Oil,42769,52347,9578,4663519000,5740563750,1077044750
20260702,ALL,연기금 등,018260,삼성에스디에스,33045,37831,4786,6807706200,7863349250,1055643050
20260702,ALL,연기금 등,000210,DL,2048,24152,22104,93677550,1116863050,1023185500
20260702,ALL,연기금 등,499790,GS피앤엘,0,25115,25115,0,1005575400,1005575400
20260702,ALL,연기금 등,138930,BNK금융지주,118050,171660,53610,2144103420,3135643770,991540350
20260702,ALL,연기금 등,020000,한섬,3260,47156,43896,71635250,1053349200,981713950
20260702,ALL,연기금 등,086450,동국제약,0,48197,48197,0,980871610,980871610
20260702,ALL,연기금 등,375500,DL이앤씨,17596,32076,14480,1142732100,2085476350,942744250
20260702,ALL,연기금 등,194700,노바렉스,1841,68247,66406,25426600,943830710,918404110
20260702,ALL,연기금 등,034220,LG디스플레이,360723,438439,77716,4027993205,4918300470,890307265
20260702,ALL,연기금 등,089970,브이엠,29720,38088,8368,2966482550,3805961500,839478950
20260702,ALL,연기금 등,145020,휴젤,0,2943,2943,0,819055750,819055750
20260702,ALL,연기금 등,347850,디앤디파마텍,5704,14819,9115,507680850,1317825450,810144600
20260702,ALL,연기금 등,214150,클래시스,62,15856,15794,3069425,787583200,784513775
20260702,ALL,연기금 등,093050,LF,0,32511,32511,0,774938750,774938750
20260702,ALL,연기금 등,047040,대우건설,576402,617590,41188,10874149725,11632206445,758056720
20260702,ALL,연기금 등,009450,경동나비엔,0,11299,11299,0,723824200,723824200
20260702,ALL,연기금 등,192820,코스맥스,6162,10226,4064,1084305300,1796883150,712577850
20260702,ALL,연기금 등,310210,보로노이,1307,4868,3561,240113700,911159700,671046000
20260702,ALL,연기금 등,016360,삼성증권,45726,51702,5976,5013792450,5672406250,658613800
20260702,ALL,연기금 등,035720,카카오,163900,182472,18572,5780635325,6431838425,651203100
20260702,ALL,연기금 등,007390,네이처셀,0,27857,27857,0,607336325,607336325
20260702,ALL,연기금 등,000100,유한양행,25007,33341,8334,1756953300,2355224400,598271100
20260702,ALL,연기금 등,003690,코리안리,2113,43874,41761,27683710,580103270,552419560
20260702,ALL,연기금 등,010780,아이에스동서,0,21813,21813,0,544471150,544471150
20260702,ALL,연기금 등,462870,시프트업,0,14203,14203,0,501785200,501785200
20260702,ALL,연기금 등,100090,SK오션플랜트,0,32000,32000,0,500921165,500921165
20260702,ALL,연기금 등,086280,현대글로비스,30418,32980,2562,5960044800,6459430150,499385350
20260702,ALL,연기금 등,001720,신영증권,0,3001,3001,0,487570400,487570400
20260702,ALL,연기금 등,004710,한솔테크닉스,108138,151324,43186,1071404800,1530247580,458842780
20260702,ALL,연기금 등,439260,대한조선,0,8480,8480,0,444923700,444923700
20260702,ALL,연기금 등,000500,가온전선,0,1500,1500,0,437200750,437200750
20260702,ALL,연기금 등,097230,HJ중공업,0,22391,22391,0,431394435,431394435
20260702,ALL,연기금 등,272210,한화시스템,86924,92401,5477,6529353500,6957574250,428220750
