날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260615,ALL,연기금 등,402340,SK스퀘어,138663,157605,18942,193569239000,219929138500,26359899500
20260615,ALL,연기금 등,003490,대한항공,551748,1375562,823814,16435960225,41047067175,24611106950
20260615,ALL,연기금 등,015760,한국전력,476280,824605,348325,19686733400,34110238900,14423505500
20260615,ALL,연기금 등,005490,POSCO홀딩스,31640,62994,31354,12452455000,24828293500,12375838500
20260615,ALL,연기금 등,028050,삼성E&A,58503,267513,209010,3056495600,14046083700,10989588100
20260615,ALL,연기금 등,267270,HD건설기계,4361,74200,69839,676593600,11548578000,10871984400
20260615,ALL,연기금 등,095610,테스,17370,75139,57769,3088678500,13412959150,10324280650
20260615,ALL,연기금 등,298040,효성중공업,1377,4041,2664,5133097500,15060830500,9927733000
20260615,ALL,연기금 등,012330,현대모비스,41945,57351,15406,26714908500,36544932000,9830023500
20260615,ALL,연기금 등,093370,후성,20565,510510,489945,410729265,10137523820,9726794555
20260615,ALL,연기금 등,475150,SK이터닉스,10,186651,186641,496000,8694491725,8693995725
20260615,ALL,연기금 등,034730,SK,11504,24324,12820,7471655500,15828519500,8356864000
20260615,ALL,연기금 등,085620,미래에셋생명,27157,322325,295168,765041300,9068746100,8303704800
20260615,ALL,연기금 등,329180,HD현대중공업,34672,45409,10737,24511050000,32074545000,7563495000
20260615,ALL,연기금 등,267260,HD현대일렉트릭,22912,29387,6475,26661211500,34088181000,7426969500
20260615,ALL,연기금 등,051910,LG화학,38237,58739,20502,13597608500,20935358750,7337750250
20260615,ALL,연기금 등,279570,케이뱅크,38,1058236,1058198,266380,7243453515,7243187135
20260615,ALL,연기금 등,375500,DL이앤씨,43290,119119,75829,3444982550,9492938800,6047956250
20260615,ALL,연기금 등,010120,LS ELECTRIC,78007,100106,22099,20033752750,25670160500,5636407750
20260615,ALL,연기금 등,007810,코리아써키트,19417,58634,39217,2657930500,8136223200,5478292700
20260615,ALL,연기금 등,247540,에코프로비엠,74446,101581,27135,13600324350,18611412350,5011088000
20260615,ALL,연기금 등,055550,신한지주,161847,204945,43098,17375176900,22175594950,4800418050
20260615,ALL,연기금 등,016360,삼성증권,60436,97596,37160,7507235100,12115575600,4608340500
20260615,ALL,연기금 등,012450,한화에어로스페이스,20909,24497,3588,22990524500,27025238000,4034713500
20260615,ALL,연기금 등,017800,현대엘리베이터,6010,52702,46692,502158900,4430599750,3928440850
20260615,ALL,연기금 등,222800,심텍,6431,35506,29075,862543450,4770248900,3907705450
20260615,ALL,연기금 등,097230,HJ중공업,38,168378,168340,859525,3904876275,3904016750
20260615,ALL,연기금 등,009830,한화솔루션,49705,148944,99239,1935646850,5823303550,3887656700
20260615,ALL,연기금 등,319400,현대무벡스,0,91686,91686,0,3494911700,3494911700
20260615,ALL,연기금 등,272210,한화시스템,67931,103063,35132,6636961750,10119932950,3482971200
20260615,ALL,연기금 등,204320,HL만도,53085,101408,48323,3709629000,7080828150,3371199150
20260615,ALL,연기금 등,079550,LIG디펜스앤에어로스페이스,25740,29751,4011,21451277000,24807154500,3355877500
20260615,ALL,연기금 등,180640,한진칼,6661,31072,24411,857456800,4033737900,3176281100
20260615,ALL,연기금 등,042700,한미반도체,97409,106412,9003,34485601750,37642867250,3157265500
20260615,ALL,연기금 등,089970,브이엠,4735,36927,32192,443848900,3430868250,2987019350
20260615,ALL,연기금 등,005940,NH투자증권,43135,132195,89060,1408682650,4330454950,2921772300
