날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260520,ALL,연기금 등,402340,SK스퀘어,181098,211651,30553,183865164500,215363837500,31498673000
20260520,ALL,연기금 등,079550,LIG디펜스앤에어로스페이스,30826,64988,34162,25681069500,53989877000,28308807500
20260520,ALL,연기금 등,086790,하나금융지주,167617,298952,131335,19256211650,34384465450,15128253800
20260520,ALL,연기금 등,032830,삼성생명,24320,62011,37691,7540323250,19279695000,11739371750
20260520,ALL,연기금 등,329180,HD현대중공업,43695,60041,16346,27276673500,37520282000,10243608500
20260520,ALL,연기금 등,012330,현대모비스,87486,106510,19024,46645849500,56871335000,10225485500
20260520,ALL,연기금 등,005930,삼성전자,7688137,7724942,36805,2097986650500,2107948426500,9961776000
20260520,ALL,연기금 등,105560,KB금융,200050,263366,63316,30225107250,39849955900,9624848650
20260520,ALL,연기금 등,005380,현대차,343390,359519,16129,201534410000,210987269000,9452859000
20260520,ALL,연기금 등,000990,DB하이텍,0,58084,58084,0,9179973800,9179973800
20260520,ALL,연기금 등,043260,성호전자,28428,223714,195286,1096719875,8569443425,7472723550
20260520,ALL,연기금 등,278470,에이피알,18836,35774,16938,7255005250,13840849000,6585843750
20260520,ALL,연기금 등,012450,한화에어로스페이스,41554,46798,5244,51524375500,58089417500,6565042000
20260520,ALL,연기금 등,017670,SK텔레콤,93198,143930,50732,9177932550,14198695750,5020763200
20260520,ALL,연기금 등,009540,HD한국조선해양,38664,50249,11585,15217465750,19792556250,4575090500
20260520,ALL,연기금 등,005830,DB손해보험,27707,54841,27134,4314939300,8570760500,4255821200
20260520,ALL,연기금 등,138040,메리츠금융지주,18439,56525,38086,2004926950,6153828150,4148901200
20260520,ALL,연기금 등,095610,테스,32336,67365,35029,3758589350,7846098650,4087509300
20260520,ALL,연기금 등,008770,호텔신라,11905,82482,70577,664690700,4652383250,3987692550
20260520,ALL,연기금 등,028260,삼성물산,88025,98647,10622,32126368500,36055791000,3929422500
20260520,ALL,연기금 등,036930,주성엔지니어링,69740,89803,20063,13337423750,17243853650,3906429900
20260520,ALL,연기금 등,319660,피에스케이,13150,47854,34704,1396285000,5132076100,3735791100
20260520,ALL,연기금 등,003550,LG,55384,91929,36545,5672351300,9403553300,3731202000
20260520,ALL,연기금 등,222800,심텍,43378,78930,35552,4423460700,8082325250,3658864550
20260520,ALL,연기금 등,443060,HD현대마린솔루션,10817,27253,16436,2379754500,5998669500,3618915000
20260520,ALL,연기금 등,131970,두산테스나,2990,24094,21104,496003950,4017870700,3521866750
20260520,ALL,연기금 등,000270,기아,421214,444601,23387,62960685200,66428807400,3468122200
20260520,ALL,연기금 등,031980,피에스케이홀딩스,3235,31089,27854,400522150,3857737750,3457215600
20260520,ALL,연기금 등,001440,대한전선,365462,423081,57619,19060613200,22090469500,3029856300
20260520,ALL,연기금 등,196170,알테오젠,66036,73345,7309,23531118250,26149089250,2617971000
20260520,ALL,연기금 등,003670,포스코퓨처엠,54919,66426,11507,11825956250,14312205500,2486249250
20260520,ALL,연기금 등,006260,LS,16376,21042,4666,8149304000,10566369500,2417065500
20260520,ALL,연기금 등,042660,한화오션,244277,262136,17859,26890483100,28844107150,1953624050
20260520,ALL,연기금 등,272210,한화시스템,113352,131305,17953,11486535800,13315582600,1829046800
20260520,ALL,연기금 등,052400,코나아이,0,27365,27365,0,1678337900,1678337900
20260520,ALL,연기금 등,066570,LG전자,733407,742405,8998,131952700450,133577197650,1624497200
20260520,ALL,연기금 등,042520,한스바이오메드,0,55892,55892,0,1564252575,1564252575
20260520,ALL,연기금 등,000810,삼성화재,10836,13679,2843,5853357500,7416275000,1562917500
20260520,ALL,연기금 등,032640,LG유플러스,113925,211779,97854,1760586510,3283284955,1522698445
20260520,ALL,연기금 등,005950,이수화학,0,108691,108691,0,1509121950,1509121950
20260520,ALL,연기금 등,064290,인텍플러스,0,61731,61731,0,1448149450,1448149450
20260520,ALL,연기금 등,131290,티에스이,5296,10957,5661,1214688000,2596588000,1381900000
20260520,ALL,연기금 등,009970,영원무역홀딩스,1240,7712,6472,239153000,1490746300,1251593300
20260520,ALL,연기금 등,071970,HD현대마린엔진,7920,23448,15528,582941750,1750102350,1167160600
20260520,ALL,연기금 등,323410,카카오뱅크,83947,133865,49918,1846428250,2950906000,1104477750
20260520,ALL,연기금 등,007660,이수페타시스,17229,25305,8076,2098516000,3081857850,983341850
20260520,ALL,연기금 등,417200,LS머트리얼즈,23625,71719,48094,461862810,1421652330,959789520
20260520,ALL,연기금 등,003230,삼양식품,2060,2722,662,2809949000,3743975500,934026500
20260520,ALL,연기금 등,214450,파마리서치,3454,6634,3180,1007884250,1939257250,931373000
20260520,ALL,연기금 등,028670,팬오션,285800,441055,155255,1648469520,2559835270,911365750
20260520,ALL,연기금 등,032350,롯데관광개발,0,48113,48113,0,903135740,903135740
20260520,ALL,연기금 등,002960,한국쉘석유,44,1647,1603,24116000,919633000,895517000
20260520,ALL,연기금 등,007070,GS리테일,38377,71405,33028,1003009700,1879130325,876120625
20260520,ALL,연기금 등,086280,현대글로비스,20340,24531,4191,4280299750,5154497500,874197750
20260520,ALL,연기금 등,499790,GS피앤엘,0,18619,18619,0,867791550,867791550
20260520,ALL,연기금 등,128940,한미약품,17519,19476,1957,7253924250,8089690500,835766250
20260520,ALL,연기금 등,483650,달바글로벌,0,3864,3864,0,830439250,830439250
20260520,ALL,연기금 등,062040,산일전기,30894,34278,3384,7399351500,8221883500,822532000
20260520,ALL,연기금 등,006110,삼아알미늄,0,9630,9630,0,812738500,812738500
20260520,ALL,연기금 등,138930,BNK금융지주,82727,128746,46019,1400754745,2194644705,793889960
20260520,ALL,연기금 등,001450,현대해상,88898,110189,21291,3277412350,4052478100,775065750
20260520,ALL,연기금 등,033780,KT&G,44692,48986,4294,7935743250,8709323450,773580200
20260520,ALL,연기금 등,090460,비에이치,11097,32800,21703,355652975,1055903050,700250075
20260520,ALL,연기금 등,445090,에이직랜드,0,23807,23807,0,698297575,698297575
20260520,ALL,연기금 등,036460,한국가스공사,17190,35397,18207,630940275,1302494000,671553725
20260520,ALL,연기금 등,011210,현대위아,8481,16880,8399,655446450,1303987550,648541100
20260520,ALL,연기금 등,307950,현대오토에버,11974,13069,1095,6527979500,7168095500,640116000
