날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260701,ALL,연기금 등,000660,SK하이닉스,849037,891467,42430,2202799386000,2313184589000,110385203000
20260701,ALL,연기금 등,090430,아모레퍼시픽,30216,162307,132091,3392710350,18321486950,14928776600
20260701,ALL,연기금 등,028050,삼성E&A,101338,283914,182576,5121791325,14457576275,9335784950
20260701,ALL,연기금 등,196170,알테오젠,24190,49482,25292,8824471750,18009823500,9185351750
20260701,ALL,연기금 등,226950,올릭스,5639,52910,47271,943712200,9005835950,8062123750
20260701,ALL,연기금 등,062040,산일전기,6729,31559,24830,1755512000,8324027750,6568515750
20260701,ALL,연기금 등,259960,크래프톤,4606,31137,26531,1124862000,7633559250,6508697250
20260701,ALL,연기금 등,347850,디앤디파마텍,0,64988,64988,0,6097058550,6097058550
20260701,ALL,연기금 등,012450,한화에어로스페이스,25943,31257,5314,27873339500,33498966000,5625626500
20260701,ALL,연기금 등,222800,심텍,16198,51973,35775,2510963150,8132737700,5621774550
20260701,ALL,연기금 등,082740,한화엔진,4700,105593,100893,258837600,5823453350,5564615750
20260701,ALL,연기금 등,322000,HD현대에너지솔루션,0,32605,32605,0,5086576750,5086576750
20260701,ALL,연기금 등,010120,LS ELECTRIC,91073,110579,19506,23812780750,28867585250,5054804500
20260701,ALL,연기금 등,214450,파마리서치,1913,15409,13496,697300500,5688873250,4991572750
20260701,ALL,연기금 등,240810,원익IPS,218099,248026,29927,37176310750,42126389100,4950078350
20260701,ALL,연기금 등,095610,테스,8941,31605,22664,1958608250,6889576000,4930967750
20260701,ALL,연기금 등,016360,삼성증권,43680,86919,43239,4901560700,9760961900,4859401200
20260701,ALL,연기금 등,352820,하이브,34092,58142,24050,6834917750,11667843400,4832925650
20260701,ALL,연기금 등,068270,셀트리온,22766,48602,25836,3965357150,8477631750,4512274600
20260701,ALL,연기금 등,071970,HD현대마린엔진,4442,70359,65917,295898550,4743465050,4447566500
20260701,ALL,연기금 등,278470,에이피알,8273,18967,10694,3351322500,7722581250,4371258750
20260701,ALL,연기금 등,079550,LIG디펜스앤에어로스페이스,24123,29306,5183,18421656500,22484270000,4062613500
20260701,ALL,연기금 등,041830,인바디,0,65313,65313,0,4059592400,4059592400
20260701,ALL,연기금 등,267250,HD현대,7123,26026,18903,1471212900,5368864400,3897651500
20260701,ALL,연기금 등,298040,효성중공업,1176,2219,1043,4410314500,8278890000,3868575500
20260701,ALL,연기금 등,420770,기가비스,5580,24886,19306,1071115450,4796461150,3725345700
20260701,ALL,연기금 등,078930,GS,29363,79743,50380,2111933650,5729123750,3617190100
20260701,ALL,연기금 등,042700,한미반도체,115887,129035,13148,29354581250,32841517000,3486935750
20260701,ALL,연기금 등,005380,현대차,210345,217401,7056,102906160000,106364017000,3457857000
