날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260310,ALL,연기금 등,005930,삼성전자,5450530,5636127,185597,1024343828550,1057931307850,33587479300
20260310,ALL,연기금 등,000660,SK하이닉스,837962,865302,27340,777772192500,801785768500,24013576000
20260310,ALL,연기금 등,034020,두산에너빌리티,1406686,1603326,196640,144143666300,164098650600,19954984300
20260310,ALL,연기금 등,009830,한화솔루션,188844,403329,214485,9512826700,20316743575,10803916875
20260310,ALL,연기금 등,329180,HD현대중공업,24750,42236,17486,14263944000,24411317000,10147373000
20260310,ALL,연기금 등,005380,현대차,207010,224804,17794,109417214500,118644136000,9226921500
20260310,ALL,연기금 등,052690,한전기술,19231,60151,40920,3052925400,9577733450,6524808050
20260310,ALL,연기금 등,000270,기아,256049,296632,40583,40964489450,47446391450,6481902000
20260310,ALL,연기금 등,083650,비에이치아이,800,58285,57485,85254300,6352771750,6267517450
20260310,ALL,연기금 등,440110,파두,0,90225,90225,0,5748142550,5748142550
20260310,ALL,연기금 등,000150,두산,6437,11746,5309,6791715500,12413974000,5622258500
20260310,ALL,연기금 등,003490,대한항공,289031,508893,219862,6963936600,12242613025,5278676425
20260310,ALL,연기금 등,010950,S-Oil,80650,123113,42463,9562083350,14629579350,5067496000
20260310,ALL,연기금 등,034220,LG디스플레이,149640,514492,364852,1779962790,6109595725,4329632935
20260310,ALL,연기금 등,005940,NH투자증권,30759,167799,137040,969395975,5273641075,4304245100
20260310,ALL,연기금 등,007660,이수페타시스,23752,60732,36980,2682251450,6833391000,4151139550
20260310,ALL,연기금 등,004020,현대제철,25431,133117,107686,950484225,4951754100,4001269875
20260310,ALL,연기금 등,251270,넷마블,4612,74652,70040,255614000,4122344200,3866730200
20260310,ALL,연기금 등,012330,현대모비스,54828,63881,9053,23169163750,26966533500,3797369750
20260310,ALL,연기금 등,006650,대한유화,678,28623,27945,90946400,3874547000,3783600600
20260310,ALL,연기금 등,017960,한국카본,15634,101954,86320,669632150,4374988500,3705356350
20260310,ALL,연기금 등,047040,대우건설,251230,632750,381520,2383851505,5997081075,3613229570
20260310,ALL,연기금 등,098460,고영,123740,236218,112478,3839496750,7404531050,3565034300
20260310,ALL,연기금 등,005090,SGC에너지,0,61913,61913,0,3529149500,3529149500
20260310,ALL,연기금 등,336260,두산퓨얼셀,0,84906,84906,0,3515569350,3515569350
20260310,ALL,연기금 등,035720,카카오,180275,245375,65100,9328191100,12702220550,3374029450
20260310,ALL,연기금 등,042700,한미반도체,211738,221864,10126,68154132250,71522334250,3368202000
20260310,ALL,연기금 등,105560,KB금융,207246,229775,22529,30734742800,34037768450,3303025650
20260310,ALL,연기금 등,016360,삼성증권,48735,83117,34382,4614316650,7860200000,3245883350
20260310,ALL,연기금 등,189300,인텔리안테크,6555,29466,22911,890150500,3982419500,3092269000
20260310,ALL,연기금 등,323410,카카오뱅크,71513,195318,123805,1733104375,4776756250,3043651875
20260310,ALL,연기금 등,267270,HD건설기계,4329,27700,23371,555976650,3596030850,3040054200
20260310,ALL,연기금 등,298040,효성중공업,1519,2596,1077,3854037000,6632718500,2778681500
20260310,ALL,연기금 등,047050,포스코인터내셔널,112303,148747,36444,8557441400,11321304700,2763863300
20260310,ALL,연기금 등,086520,에코프로,454370,470331,15961,76100135400,78861686650,2761551250
20260310,ALL,연기금 등,476830,알지노믹스,0,16051,16051,0,2673433750,2673433750
20260310,ALL,연기금 등,353200,대덕전자,18989,60461,41472,1227395350,3883496850,2656101500
20260310,ALL,연기금 등,062040,산일전기,2006,19681,17675,293348150,2883114850,2589766700
20260310,ALL,연기금 등,036890,진성티이씨,0,164559,164559,0,2577217160,2577217160
20260310,ALL,연기금 등,036830,솔브레인홀딩스,0,43990,43990,0,2501530000,2501530000
20260310,ALL,연기금 등,077360,덕산하이메탈,0,209774,209774,0,2499006380,2499006380
20260310,ALL,연기금 등,439260,대한조선,1536,26388,24852,153308100,2640568650,2487260550
20260310,ALL,연기금 등,089970,브이엠,0,54497,54497,0,2274138300,2274138300
20260310,ALL,연기금 등,039030,이오테크닉스,1215,6334,5119,520261000,2773656500,2253395500
20260310,ALL,연기금 등,316140,우리금융지주,131728,197247,65519,4232925900,6332710500,2099784600
20260310,ALL,연기금 등,247540,에코프로비엠,44283,54553,10270,9126161500,11214257250,2088095750
20260310,ALL,연기금 등,087010,펩트론,0,7347,7347,0,2067374250,2067374250
20260310,ALL,연기금 등,011210,현대위아,11420,34897,23477,1006035850,3061364950,2055329100
20260310,ALL,연기금 등,196170,알테오젠,27550,32891,5341,10420486500,12464695500,2044209000
20260310,ALL,연기금 등,064760,티씨케이,5,8532,8527,1112000,1890180000,1889068000
20260310,ALL,연기금 등,078600,대주전자재료,721,16763,16042,80406800,1917445300,1837038500
20260310,ALL,연기금 등,064400,LG씨엔에스,13731,42200,28469,871638150,2681385000,1809746850
20260310,ALL,연기금 등,036930,주성엔지니어링,10430,35178,24748,729956950,2474175300,1744218350
