날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260331,ALL,연기금 등,006400,삼성SDI,147647,250634,102987,61432682750,104192263250,42759580500
20260331,ALL,연기금 등,005935,삼성전자우,13801,159943,146142,1579775500,18356368900,16776593400
20260331,ALL,연기금 등,259960,크래프톤,5923,55977,50054,1518915000,14373729000,12854814000
20260331,ALL,연기금 등,003230,삼양식품,1575,12059,10484,1918197000,14721744000,12803547000
20260331,ALL,연기금 등,033780,KT&G,15581,85317,69736,2514994850,13754593050,11239598200
20260331,ALL,연기금 등,009830,한화솔루션,472465,765369,292904,17851741225,28862651250,11010910025
20260331,ALL,연기금 등,373220,LG에너지솔루션,80068,104464,24396,32033713500,41750323750,9716610250
20260331,ALL,연기금 등,028050,삼성E&A,165495,413750,248255,5886132750,14780383950,8894251200
20260331,ALL,연기금 등,036570,엔씨소프트,7901,43266,35365,1794787000,9815420000,8020633000
20260331,ALL,연기금 등,278470,에이피알,20793,44301,23508,6896551250,14729508000,7832956750
20260331,ALL,연기금 등,003670,포스코퓨처엠,31264,67636,36372,6498324000,14040901750,7542577750
20260331,ALL,연기금 등,042660,한화오션,273117,333892,60775,33505899450,40858881000,7352981550
20260331,ALL,연기금 등,034020,두산에너빌리티,792503,867885,75382,74057604850,81004923400,6947318550
20260331,ALL,연기금 등,011070,LG이노텍,12565,34134,21569,3787387000,10299141500,6511754500
20260331,ALL,연기금 등,226950,올릭스,5325,39381,34056,971946700,7253626450,6281679750
20260331,ALL,연기금 등,062040,산일전기,2064,46775,44711,283017700,6398857000,6115839300
20260331,ALL,연기금 등,128940,한미약품,5173,16564,11391,2700780500,8644851500,5944071000
20260331,ALL,연기금 등,090430,아모레퍼시픽,10051,50577,40526,1400331250,7041844400,5641513150
20260331,ALL,연기금 등,097950,CJ제일제당,1654,26591,24937,361285500,5811528000,5450242500
20260331,ALL,연기금 등,096770,SK이노베이션,52173,100246,48073,5770901150,11118391600,5347490450
