날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260219,ALL,연기금 등,402340,SK스퀘어,42829,104031,61202,24458745000,59571662500,35112917500
20260219,ALL,연기금 등,005935,삼성전자우,15460,190514,175054,2067488150,25492945650,23425457500
20260219,ALL,연기금 등,042660,한화오션,410447,530827,120380,57637955100,74406089100,16768134000
20260219,ALL,연기금 등,196170,알테오젠,60060,85211,25151,24318620750,34417574750,10098954000
20260219,ALL,연기금 등,000660,SK하이닉스,632537,643002,10465,565958763500,575571276000,9612512500
20260219,ALL,연기금 등,357780,솔브레인,31,22588,22557,13014000,9450659250,9437645250
20260219,ALL,연기금 등,267270,HD건설기계,9179,73981,64802,1319081600,10653573200,9334491600
20260219,ALL,연기금 등,011200,HMM,144727,549242,404515,3282366100,12466997075,9184630975
20260219,ALL,연기금 등,031980,피에스케이홀딩스,0,104668,104668,0,8799068700,8799068700
20260219,ALL,연기금 등,006400,삼성SDI,89623,110641,21018,34941784000,43154130250,8212346250
20260219,ALL,연기금 등,000150,두산,11716,19213,7497,11557965500,19002994000,7445028500
20260219,ALL,연기금 등,247540,에코프로비엠,71330,105359,34029,14673127300,21704926100,7031798800
20260219,ALL,연기금 등,329180,HD현대중공업,22156,33356,11200,12797802500,19311676500,6513874000
20260219,ALL,연기금 등,272210,한화시스템,105724,164748,59024,11136181650,17371238600,6235056950
20260219,ALL,연기금 등,373220,LG에너지솔루션,37146,51179,14033,14889151250,20476182000,5587030750
20260219,ALL,연기금 등,036570,엔씨소프트,8169,31266,23097,1815112250,6956861250,5141749000
20260219,ALL,연기금 등,090430,아모레퍼시픽,11443,42083,30640,1838473650,6770280350,4931806700
20260219,ALL,연기금 등,078600,대주전자재료,2745,55402,52657,251371850,5159336450,4907964600
20260219,ALL,연기금 등,005380,현대차,369095,378980,9885,188839744250,193523343000,4683598750
20260219,ALL,연기금 등,086520,에코프로,404581,431187,26606,66707796850,71072110500,4364313650
20260219,ALL,연기금 등,267250,HD현대,12499,27556,15057,3366080750,7428536750,4062456000
20260219,ALL,연기금 등,009830,한화솔루션,1083795,1162934,79139,58820534000,62427495175,3606961175
20260219,ALL,연기금 등,003670,포스코퓨처엠,22626,36948,14322,5277887500,8628427750,3350540250
